Date,Open,Close,Highest,Lowest
2020-04-15,70.6,71.1075,71.5825,70.1575
2020-04-16,71.845,71.6725,72.049375,70.58755
2020-04-17,71.1725,70.7,71.73625,69.215
2020-04-20,69.4875,69.2325,70.42,69.2125
2020-04-21,69.07,67.0925,69.3125,66.3575
2020-04-22,68.4025,69.025,69.475,68.05
2020-04-23,68.9675,68.7575,70.4375,68.7175
2020-04-24,69.3,70.7425,70.7525,69.25
2020-04-27,70.45,70.7925,71.135,69.9875
2020-04-28,71.27,69.645,71.4575,69.55
2020-04-29,71.1825,71.9325,72.4175,70.9725
2020-04-30,72.49,73.45,73.6325,72.0875
2020-05-01,71.5625,72.2675,74.75,71.4625
2020-05-04,72.2925,73.29,73.4225,71.5793
2020-05-05,73.765,74.39,75.25,73.615
2020-05-06,75.115,75.1575,75.81,74.7175
2020-05-07,75.805,75.935,76.2925,75.4925
2020-05-08,76.41,77.5325,77.5875,76.0725
2020-05-11,77.025,78.7525,79.2625,76.81
2020-05-12,79.4575,77.8525,79.922,77.7275
2020-05-13,78.0375,76.9125,78.9875,75.8025
2020-05-14,76.1275,77.385,77.4475,75.3825
2020-05-15,75.0875,76.9275,76.975,75.0525
2020-05-18,78.2925,78.74,79.125,77.581025
2020-05-19,78.7575,78.285,79.63,78.2525
2020-05-20,79.17,79.8075,79.88,79.05
2020-05-21,79.665,79.2125,80.2225,78.9675
2020-05-22,78.9425,79.7225,79.8075,78.8375
2020-05-26,80.875,79.1825,81.06,79.125
2020-05-27,79.035,79.5275,79.6775,78.2725
2020-05-28,79.1925,79.5625,80.86,78.9075
2020-05-29,79.8125,79.485,80.2875,79.1175
2020-06-01,79.4375,80.4625,80.5875,79.3025
2020-06-02,80.18625,80.835,80.86,79.7325
2020-06-03,81.165,81.28,81.55,80.575
2020-06-04,81.0975,80.58,81.405,80.195
2020-06-05,80.8375,82.875,82.9375,80.8075
2020-06-08,82.5625,83.365,83.4,81.83
2020-06-09,83.035,85.9975,86.4025,83.0025
2020-06-10,86.975,88.21,88.6925,86.5225
2020-06-11,87.3275,83.975,87.765,83.87
2020-06-12,86.18,84.7,86.95,83.555825
2020-06-15,83.3125,85.7475,86.42,83.145
2020-06-16,87.865,88.02,88.3,86.18
2020-06-17,88.7875,87.8975,88.85,87.7725
2020-06-18,87.8525,87.9325,88.3625,87.305
2020-06-19,88.65875,87.43,89.14,86.2875
2020-06-22,87.835,89.7175,89.865,87.7875
2020-06-23,91.0,91.6325,93.095,90.567525
2020-06-24,91.25,90.015,92.1975,89.63
2020-06-25,90.175,91.21,91.25,89.3925
2020-06-26,91.1025,88.4075,91.33,88.255
2020-06-29,88.3125,90.445,90.5434,87.82
2020-06-30,90.02,91.2,91.495,90.0
2020-07-01,91.28,91.0275,91.84,90.9775
2020-07-02,91.9625,91.0275,92.6175,90.91
2020-07-06,92.5,93.4625,93.945,92.4675
2020-07-07,93.8525,93.1725,94.655,93.0575
2020-07-08,94.18,95.3425,95.375,94.09
2020-07-09,96.2625,95.6825,96.3175,94.6725
2020-07-10,95.335,95.92,95.98,94.705175
2020-07-13,97.265,95.4775,99.955,95.2575
2020-07-14,94.84,97.0575,97.255,93.8775
2020-07-15,98.99,97.725,99.2475,96.49
2020-07-16,96.5625,96.5225,97.405,95.905
2020-07-17,96.9875,96.3275,97.1475,95.84
2020-07-20,96.41625,98.3575,98.5,96.0625
2020-07-21,99.1725,97.0,99.25,96.7425
2020-07-22,96.6925,97.2725,97.975,96.6025
2020-07-23,96.998375,92.845,97.0775,92.00975
2020-07-24,90.9875,92.615,92.97,89.145
2020-07-27,93.71,94.81,94.905,93.48
2020-07-28,94.3675,93.2525,94.54965,93.2475
2020-07-29,93.75,95.04,95.23,93.7125
2020-07-30,94.1875,96.19,96.2975,93.7675
