date,daily_weighted_avg,Category
20220325,-0.026938152941176477,NVIDIA Corp
20220326,-0.011325,NVIDIA Corp
20220327,-0.015747299999999995,NVIDIA Corp
20220328,0.023295000000000003,NVIDIA Corp
20220329,0.06805466666666667,NVIDIA Corp
20220330,-0.059007541284403664,NVIDIA Corp
20220331,0.012791389830508478,NVIDIA Corp
20220401,-0.022695461538461543,NVIDIA Corp
20220402,0.10596625,NVIDIA Corp
20220403,-0.0073492,NVIDIA Corp
20220404,0.05089150000000001,NVIDIA Corp
20220405,-0.0447809696969697,NVIDIA Corp
20220406,-0.05479866666666666,NVIDIA Corp
20220407,-0.09625192,NVIDIA Corp
20220408,-0.19941681896551725,NVIDIA Corp
20220409,0.11595387500000001,NVIDIA Corp
20220410,0.045200000000000004,NVIDIA Corp
20220411,-0.0959884938271605,NVIDIA Corp
20220412,-0.16007930769230772,NVIDIA Corp
20220413,-0.015025491803278685,NVIDIA Corp
20220414,-0.020758333333333333,NVIDIA Corp
20220415,0.021620157894736838,NVIDIA Corp
20220416,0.15057399999999999,NVIDIA Corp
20220418,-0.0259189,NVIDIA Corp
20220419,0.0042994166666666675,NVIDIA Corp
20220420,-0.06604718867924528,NVIDIA Corp
20220421,-0.12378414736842104,NVIDIA Corp
20220422,-0.10088882352941175,NVIDIA Corp
20220423,0.026280833333333337,NVIDIA Corp
20220424,-0.072272,NVIDIA Corp
20220425,0.03721725000000001,NVIDIA Corp
20220426,-0.06055136363636364,NVIDIA Corp
20220427,-0.1024153125,NVIDIA Corp
20220428,-0.0009183589743589701,NVIDIA Corp
20220429,-0.07170983333333333,NVIDIA Corp
20220430,-0.024777538461538462,NVIDIA Corp
20220502,-0.1388281181818182,NVIDIA Corp
20220503,-0.010362888888888894,NVIDIA Corp
20220504,-0.08445485,NVIDIA Corp
20220505,-0.04029491489361703,NVIDIA Corp
20220506,-0.06350816279069767,NVIDIA Corp
20220507,-0.22032466666666664,NVIDIA Corp
